location_description,district,counts
RIVER BANK,18,2
ROOF,24,1
ROOMING HOUSE,24,1
SAVINGS AND LOAN,25,34
SCHOOL - PRIVATE BUILDING,1,74
SCHOOL - PRIVATE GROUNDS,12,77
SCHOOL - PUBLIC BUILDING,8,477
SCHOOL - PUBLIC GROUNDS,8,337
SCHOOL YARD,12,5
"SCHOOL, PRIVATE, BUILDING",1,1524
"SCHOOL, PRIVATE, GROUNDS",2,368
"SCHOOL, PUBLIC, BUILDING",4,12983
"SCHOOL, PUBLIC, GROUNDS",8,2130
SEWER,22,1
SIDEWALK,11,94213
SMALL RETAIL STORE,18,16928
SPORTS ARENA / STADIUM,19,116
SPORTS ARENA/STADIUM,12,1029
STAIRWELL,24,4
STREET,11,141561
TAVERN,12,6
TAVERN / LIQUOR STORE,19,179
TAVERN/LIQUOR STORE,18,2641
TAXI CAB,17,1
TAXICAB,18,1455
TRAILER,10,1
TRUCK,8,2
TRUCKING TERMINAL,6,1
VACANT LOT,11,39
VACANT LOT / LAND,11,765
VACANT LOT/LAND,11,5144
VEHICLE - COMMERCIAL,8,57
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,18,2
VEHICLE - COMMERCIAL: TROLLEY BUS,22,2
VEHICLE - DELIVERY TRUCK,12,31
VEHICLE - OTHER RIDE SERVICE,1,39
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",18,63
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",18,42
VEHICLE NON-COMMERCIAL,25,11551
VEHICLE-COMMERCIAL,8,489
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,18,2
VEHICLE-COMMERCIAL - TROLLEY BUS,24,1
VESTIBULE,3,5
WAREHOUSE,12,1379
WOODED AREA,5,4
YARD,11,32
YMCA,25,1
